formatted_address,name,place_id,url,user_ratings_total
"1050 US-98, Columbia, MS 39429, USA",Fast Pace Urgent Care Columbia,ChIJ2zWNwdlpnYgR2ZoHfOZjnYE,https://maps.google.com/?cid=9339731043810777817,4
"1008 Azalea Dr, Waynesboro, MS 39367, USA",Fast Pace Urgent Care Waynesboro,ChIJs9ZI75vbfIgRuMSwoiti7vw,https://maps.google.com/?cid=18225612681567585464,11
"1017 W Beacon St, Philadelphia, MS 39350, USA",Fast Pace Urgent Care Philadelphia,ChIJ5_mQW0fBg4gROlVJr_HCcBo,https://maps.google.com/?cid=1905236985661445434,4
"616 Hwy 82 West, Indianola, MS 38751, USA",Fast Pace Urgent Care Indianola,ChIJfbPFXOO1K4YR2gUzuhuH0PA,https://maps.google.com/?cid=17352517917416293850,3
"50 Veterans Memorial Dr, Kosciusko, MS 39090, USA",Fast Pace Urgent Care Kosciusko,ChIJS6mDvjkngogRAoGmmy-A3es,https://maps.google.com/?cid=16995881510729318658,2
"533 Lake St, Hazlehurst, MS 39083, USA",Fast Pace Urgent Care Hazlehurst,ChIJFZm1qIxvKIYRboOWw2y7yn8,https://maps.google.com/?cid=9208378463924683630,3
"115 MS-16, Carthage, MS 39051, USA",Fast Pace Urgent Care Carthage,ChIJEe2TvWY3gogRrNXK6RMrMec,https://maps.google.com/?cid=16659143861146932652,2
"2009 Highway 82 W, Greenwood, MS 38930, USA",Fast Pace Urgent Care Greenwood,ChIJ-zlZv9BtKoYRzFOAH1AHnZE,https://maps.google.com/?cid=10492550747550405580,3
"700 Sunset Dr, Grenada, MS 38901, USA",Fast Pace Urgent Care Grenada,ChIJiZdg9S3NgYgRmXyKFtqFa8o,https://maps.google.com/?cid=14585898989897022617,9
"517 City Ave S, Ripley, MS 38663, USA",Fast Pace Urgent Care Ripley,ChIJSXYMl9QRfogRFEbbUSYDmsc,https://maps.google.com/?cid=14382811823078065684,30
"619 S State St, Clarksdale, MS 38614, USA",Fast Pace Urgent Care Clarksdale,ChIJiYGfesvfKoYRehrHALqfXo0,https://maps.google.com/?cid=10186755028384422522,5
"333 S Main St, Leitchfield, KY 42754, USA",Fast Pace Urgent Care Leitchfield,ChIJeSWYqYtMb4gRQjh_GZQ8YT0,https://maps.google.com/?cid=4422882915835131970,41
"796 W Broadway, Campbellsville, KY 42718, USA",Fast Pace Urgent Care Campbellsville,ChIJ9_p7oYBxaIgRwGWq4FLfJXY,https://maps.google.com/?cid=8513456217663366592,53
"895 N Main St, Monticello, KY 42633, USA",Fast Pace Urgent Care Monticello,ChIJM3NOLF9nXYgRGDDJZF16XYA,https://maps.google.com/?cid=9249683751230320664,34
"150 N US-27, Somerset, KY 42503, USA",Fast Pace Urgent Care Somerset,ChIJUwOpPB1KXYgRuXC5hTScb9o,https://maps.google.com/?cid=15739970972078928057,44
"1023 West E Main St, Princeton, KY 42445, USA",Fast Pace Urgent Care Princeton,ChIJfwxQjdKZeogRfPY3KdxtDzE,https://maps.google.com/?cid=3535165024860894844,31
"919 N Main St, Madisonville, KY 42431, USA",Fast Pace Urgent Care Madisonville,ChIJbdXVlYn-b4gRjq8J5bmvPzw,https://maps.google.com/?cid=4341381778754875278,20
"1151 W 9th St, Russellville, KY 42276, USA",Fast Pace Urgent Care Russellville,ChIJdYLA3AAKZYgRriNZHqk287c,https://maps.google.com/?cid=13254998228268032942,29
"506 N 12th St, Murray, KY 42071, USA",Fast Pace Urgent Care Murray,ChIJvddJsKJSeogRJFr1Cb0IQNE,https://maps.google.com/?cid=15078061160445336100,47
"1251 Paris Rd, Mayfield, KY 42066, USA",Fast Pace Urgent Care Mayfield,ChIJYSLbgNoxeogR8XfrEv6cnGA,https://maps.google.com/?cid=6961611739060991985,49
"401 Main St, Benton, KY 42025, USA",Fast Pace Urgent Care Benton,ChIJO6vjB2VDeogRA03pQ16WJ2Q,https://maps.google.com/?cid=7216902259494964483,41
"420 W Martin L King Hwy, Maysville, KY 41056, USA",Fast Pace Urgent Care Maysville,ChIJazGXDxdQQYgRCli6v4zS4f8,https://maps.google.com/?cid=18438249851385436170,31
"1000 West Park Drive, Lawrenceburg, KY 40342, USA",Fast Pace Urgent Care Lawrenceburg,ChIJYSyUoPB5QogR-U9V1241nRA,https://maps.google.com/?cid=1197171826125787129,10
"757 W Main St, Lebanon, KY 40033, USA",Fast Pace Urgent Care Lebanon,ChIJjX7D3vU_aIgRE8YN2DttQDk,https://maps.google.com/?cid=4125417362466653715,13
"1095 Morton Ave, Bardstown, KY 40004, USA",Fast Pace Urgent Care Bardstown,ChIJiRD7djZSaIgRsPr4mQdsDrU,https://maps.google.com/?cid=13046483950442707632,39
"811 N Main St, Mt Pleasant, TN 38474, USA",Fast Pace Urgent Care Mt. Pleasant,ChIJvU8mTMZqY4gReY5Auqtbv-8,https://maps.google.com/?cid=17275627488738840185,45
"1705 W Reelfoot Ave, Union City, TN 38261, USA",Fast Pace Urgent Care Union City,ChIJUVyev0BteYgR0aUjFqh1lTE,https://maps.google.com/?cid=3572891244174747089,39
"277 E W Broadway Blvd, Jefferson City, TN 37760, USA",Fast Pace Urgent Care Jefferson City,ChIJL3wQj-2MW4gRjP6sKqODJIs,https://maps.google.com/?cid=10026283407252455052,94
"9325 Dayton Pike, Soddy-Daisy, TN 37379, USA",Fast Pace Urgent Care Soddy Daisy,ChIJFwS1eTyMYIgR3wIta6H4kho,https://maps.google.com/?cid=1914866163757417183,48
"4696 Nashville Hwy, Chapel Hill, TN 37034, USA",Fast Pace Urgent Care Chapel Hill,ChIJxxqjJyaRY4gRcuyhE8q0yQk,https://maps.google.com/?cid=705293596665965682,29
"189 Monroe Pl #104, Ashland City, TN 37015, USA",Fast Pace Urgent Care Ashland City,ChIJyQuoS-jyZIgRV_ia1JwzXmE,https://maps.google.com/?cid=7016102018164652119,59
"5713 Highway 45 ALT South, West Point, MS 39773, USA",Fast Pace Urgent Care West Point,ChIJ43pnMqrRhogRc6-NQBWnKt4,https://maps.google.com/?cid=16008791535161028467,1
"603 S Craft St, Holly Springs, MS 38635, USA",Fast Pace Urgent Care Holly Springs,ChIJexE46kLNf4gRHLl2-vyXLMQ,https://maps.google.com/?cid=14135840443198781724,5
"2242 US-41, Henderson, KY 42420, USA","Fast Pace Urgent Care Henderson, KY",ChIJd730aygqcIgReA59AxZtaKc,https://maps.google.com/?cid=12063011543227108984,28
"110 S 2nd St, Central City, KY 42330, USA",Fast Pace Urgent Care Central City,ChIJyUEJ7ZeJb4gRZo8jF7CnqQg,https://maps.google.com/?cid=624214398111813478,19
"1430 N Main St, Beaver Dam, KY 42320, USA",Fast Pace Urgent Care Beaver Dam,ChIJaXW3nDx4b4gR31QjmFz7Q-o,https://maps.google.com/?cid=16880612203422766303,20
"1475 Nashville Rd, Franklin, KY 42134, USA","Fast Pace Urgent Care Franklin, KY",ChIJaZsINy7IZYgRYM4YRkcRuYM,https://maps.google.com/?cid=9491636687476412000,37
"145 Brookeway Dr, Mt Washington, KY 40047, USA",Fast Pace Urgent Care Mt. Washington,ChIJAz1ToaSoaYgRt8v4KcISkh4,https://maps.google.com/?cid=2202843792874720183,50
